pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
11 Com,11 Com b,2007,0,Ground,Radial Velocity,Xinglong Station,1,326.03,93.37,,,,19.4,,,2.7,19,
11 UMi,11 UMi b,2009,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,516.21997,125.72,,,,14.74,,,2.78,29.79,
14 And,14 And b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,185.84,75.59,,,,4.8,,,2.2,11,
14 Her,14 Her b,2002,0,Ground,Radial Velocity,W. M. Keck Observatory,1,1773.40002,17.94,,,,4.66,,,0.9,0.93,
16 Cyg B,16 Cyg B b,1996,0,Ground,Radial Velocity,Multiple Observatories,1,798.5,21.41,,,,1.78,,,1.08,1.13,
18 Del,18 Del b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,993.3,76.38,,,,10.3,,,2.3,8.5,
1RXS J160929.1-210524,1RXS J160929.1-210524 b,2008,0,Ground,Imaging,Gemini Observatory,1,,145,0.005,3000,,8,,,0.85,,
24 Boo,24 Boo b,2018,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,30.3506,96.25,6.92,,,0.91,,,0.99,10.64,
24 Sex,24 Sex b,2010,0,Ground,Radial Velocity,Lick Observatory,2,452.8,72.21,2.7,,,1.99,,,1.54,4.9,
24 Sex,24 Sex c,2010,0,Ground,Radial Velocity,Lick Observatory,2,883,72.21,2.7,,,0.86,,,1.54,4.9,
2MASS J01225093-2439505,2MASS J01225093-2439505 b,2013,0,Ground,Imaging,W. M. Keck Observatory,1,,36,0.12,7786.5,,24.5,,,0.4,,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,2015,0,Ground,Imaging,Cerro Tololo Inter-American Observatory,1,,39.4,0.035,4417.837,16.141,13.9,1.44,,0.11,0.28,
2MASS J04414489+2301513,2MASS J04414489+2301513 b,2010,0,Space,Imaging,Hubble Space Telescope,1,,140,0.001,2383.6,,7.5,,,0.02,,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,2004,0,Ground,Imaging,Paranal Observatory,1,,52.4,0.008,1271,,4,,,0.02,,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,2015,1,Space,Eclipse Timing Variations,Kepler,1,416,396.36,,603.877,,1.9,,,0.48,,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,2009,0,Ground,Imaging,W. M. Keck Observatory,1,7336.5,25,,6657.48,10.31,20.95,0.92,,0.08,0.12,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,2016,0,Ground,Imaging,W. M. Keck Observatory,1,,74,0.12,3972.875,,12.5,,,0.6,,
30 Ari B,30 Ari B b,2009,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,335.10001,44.71,,,,13.82,,,1.93,1.41,
4 UMa,4 UMa b,2006,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,269.3,73.58,4.604,,,7.1,,,1.23,18.11,
42 Dra,42 Dra b,2008,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,479.1,90.86,9.49,,,3.88,,,0.98,22.03,
47 UMa,47 UMa b,1996,0,Ground,Radial Velocity,Lick Observatory,3,1078,13.8,7.3,,,2.53,,,1.03,1.23,
47 UMa,47 UMa c,2001,0,Ground,Radial Velocity,Lick Observatory,3,2391,13.8,7.3,,,0.54,,,1.03,1.23,
47 UMa,47 UMa d,2009,0,Ground,Radial Velocity,Lick Observatory,3,14002,13.8,7.3,,,1.64,,,1.03,1.23,
51 Eri,51 Eri b,2015,0,Ground,Imaging,Gemini Observatory,1,,29.4,0.02,635.66,,2,,,1.75,,
51 Peg,51 Peg b,1995,0,Ground,Radial Velocity,Haute-Provence Observatory,1,4.230785,15.47,4,,,0.472,,,1.12,1.2,
55 Cnc,55 Cnc b,1996,0,Ground,Radial Velocity,Lick Observatory,5,14.65152,12.59,10.2,263.9785,,0.8306,,,0.91,0.94,
55 Cnc,55 Cnc c,2004,0,Ground,Radial Velocity,McDonald Observatory,5,44.4175,12.59,10.2,54.4738,,0.1714,,,0.91,0.94,
55 Cnc,55 Cnc d,2002,0,Ground,Radial Velocity,Lick Observatory,5,4825,12.59,10.2,1232.493,,3.878,,,0.91,0.94,
55 Cnc,55 Cnc e,2004,0,Ground,Radial Velocity,McDonald Observatory,5,0.736539,12.59,10.2,8.08,1.91,0.02542,0.17,6.4,0.91,0.94,
55 Cnc,55 Cnc f,2007,0,Ground,Radial Velocity,Multiple Observatories,5,262,12.59,10.2,44.812,,0.141,,,0.91,0.94,
6 Lyn,6 Lyn b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,934.3,54.74,,,,2.01,,,1.44,5.2,
61 Vir,61 Vir b,2009,0,Ground,Radial Velocity,Multiple Observatories,3,4.215,8.51,8.96,,,0.016,,,0.94,0.96,
61 Vir,61 Vir c,2009,0,Ground,Radial Velocity,Multiple Observatories,3,38.021,8.51,8.96,,,0.057,,,0.94,0.96,
61 Vir,61 Vir d,2009,0,Ground,Radial Velocity,Multiple Observatories,3,123.01,8.51,8.96,,,0.072,,,0.94,0.96,
7 CMa,7 CMa b,2011,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,796,19.82,,,,2.46,,,1.52,2.3,
70 Vir,70 Vir b,1996,0,Ground,Radial Velocity,Lick Observatory,1,116.688,17.91,,,,7.416,,,1.09,1.89,
75 Cet,75 Cet b,2012,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,691.9,83.15,,,,3,,,2.49,10.5,
8 UMi,8 UMi b,2015,0,Ground,Radial Velocity,Bohyunsan Optical Astronomical Observatory,1,93.4,159.1,,,,1.31,,,1.44,10.3,
81 Cet,81 Cet b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,952.7,101.53,,,,5.3,,,2.4,11,
91 Aqr,91 Aqr b,2013,0,Ground,Radial Velocity,Lick Observatory,1,181.4,44.08,3.56,,,3.2,,,1.4,11,
AB Pic,AB Pic b,2005,0,Ground,Imaging,Paranal Observatory,1,,50.12,0.03,4290.5,,13.5,,,,,
BD+03 2562,BD+03 2562 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,481.9,2618,5.2,,,6.4,,,1.14,32.35,
BD+14 4559,BD+14 4559 b,2009,0,Ground,Radial Velocity,McDonald Observatory,1,268.94,49.42,,,,1.04,,,0.49,0.86,
BD+15 2375,BD+15 2375 b,2016,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,1,153.22,774,7.41,,,1.061,,,1.08,8.95,
BD+15 2940,BD+15 2940 b,2013,0,Ground,Radial Velocity,McDonald Observatory,1,137.48,431.61,7.1,,,1.11,,,1.1,14.7,
BD+20 2457,BD+20 2457 b,2009,0,Ground,Radial Velocity,McDonald Observatory,2,379.63,200,,,,55.59,,,10.83,71.02,
BD+20 2457,BD+20 2457 c,2009,0,Ground,Radial Velocity,McDonald Observatory,2,621.99,200,,,,12.47,,,10.83,71.02,
BD+20 274,BD+20 274 b,2012,0,Ground,Radial Velocity,McDonald Observatory,1,578.2,1383.85,,,,4.2,,,0.8,17.3,
BD+20 594,BD+20 594 b,2016,0,Space,Transit,K2,1,41.6855,180.39,,22.2481,2.578,0.07,0.23,,1.67,1.08,1.89
BD+48 738,BD+48 738 b,2011,0,Ground,Radial Velocity,McDonald Observatory,1,392.6,892.17,,,,0.91,,,0.74,11,
BD+48 740,BD+48 740 b,2018,0,Ground,Radial Velocity,Multiple Observatories,1,733,678.94,,,,1.7,,,1.09,10.33,
BD+49 828,BD+49 828 b,2015,0,Ground,Radial Velocity,McDonald Observatory,1,2590,447.59,2.34,,,1.6,,,1.52,7.6,
BD-06 1339,BD-06 1339 b,2013,0,Ground,Radial Velocity,La Silla Observatory,2,3.8728,20.28,4.4,,,0.027,,,0.7,,
BD-06 1339,BD-06 1339 c,2013,0,Ground,Radial Velocity,La Silla Observatory,2,125.94,20.28,4.4,,,0.17,,,0.7,,
BD-08 2823,BD-08 2823 b,2009,0,Ground,Radial Velocity,La Silla Observatory,2,5.6,41.38,,,,0.04,,,0.5,0.71,
BD-08 2823,BD-08 2823 c,2009,0,Ground,Radial Velocity,La Silla Observatory,2,237.6,41.38,,,,0.33,,,0.5,0.71,
BD-10 3166,BD-10 3166 b,2000,0,Ground,Radial Velocity,W. M. Keck Observatory,1,3.48777,80,,,,0.59,,,1.47,0.91,
BD-11 4672,BD-11 4672 b,2014,0,Ground,Radial Velocity,La Silla Observatory,1,1667,27.3,4.4,,,0.53,,,0.57,0.52,
BD-13 2130,BD-13 2130 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,714.29999,766,,,,9.78,,,2.12,19.17,
BD-17 63,BD-17 63 b,2008,0,Ground,Radial Velocity,La Silla Observatory,1,655.59998,34.49,,,,2.85,,,0.31,0.74,
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,2011,0,Ground,Imaging,W. M. Keck Observatory,1,10037.5,23.1,,3337.1,,10.5,,,0.02,,
CHXR 73,CHXR 73 b,2006,0,Space,Imaging,Hubble Space Telescope,1,,191.05,0.002,3994.486,,12.569,,,0.35,,
CT Cha,CT Cha b,2007,0,Ground,Imaging,Paranal Observatory,1,,165,0.002,5403,24.66,17,2.2,,,,
CoRoT-1,CoRoT-1 b,2008,0,Space,Transit,CoRoT,1,1.5089557,805.31,,327.35,16.7,1.03,1.49,0.38,0.95,1.11,
CoRoT-10,CoRoT-10 b,2010,0,Space,Transit,CoRoT,1,13.2406,345,3,874,10.87,2.75,0.97,3.7,0.89,0.79,3.32
CoRoT-11,CoRoT-11 b,2010,0,Space,Transit,CoRoT,1,2.99433,560,2,740.51,16.03,2.33,1.43,0.99,1.27,1.37,0.69
CoRoT-12,CoRoT-12 b,2010,0,Space,Transit,CoRoT,1,2.828042,1150,6.3,291.438,16.14,0.917,1.44,0.411,1.08,1.12,1.08
CoRoT-13,CoRoT-13 b,2010,0,Space,Transit,CoRoT,1,4.03519,1060,1.635,415.704,9.92,1.308,0.885,2.34,1.09,1.01,1.468
CoRoT-14,CoRoT-14 b,2010,0,Space,Transit,CoRoT,1,1.51214,1340,4.2,2415.4,12.22,7.6,1.09,7.3,1.13,1.21,0.91
CoRoT-16,CoRoT-16 b,2011,0,Space,Transit,CoRoT,1,5.35227,840,6.73,170.032,13.11,0.535,1.17,0.44,1.1,1.19,0.93
CoRoT-17,CoRoT-17 b,2011,0,Space,Transit,CoRoT,1,3.7681,920,10.7,772.29,11.43,2.43,1.02,2.82,1.04,1.59,0.32
CoRoT-18,CoRoT-18 b,2011,0,Space,Transit,CoRoT,1,1.9000693,870,,1102.82,14.68,3.47,1.31,2.2,0.95,1,1.35
CoRoT-19,CoRoT-19 b,2011,0,Space,Transit,CoRoT,1,3.89713,770,5,352.78,14.46,1.11,1.29,0.71,1.21,1.65,0.38
CoRoT-2,CoRoT-2 b,2008,0,Space,Transit,CoRoT,1,1.7429935,200,2.7,1102.82,16.432,3.47,1.466,1.47,0.96,0.91,1.814
CoRoT-20,CoRoT-20 b,2011,0,Space,Transit,CoRoT,2,9.24285,864.31,,1366.669,,4.3,,,1.14,,
CoRoT-20,CoRoT-20 c,2018,0,Ground,Radial Velocity,Multiple Observatories,2,1675,864.31,,,,17,,,1.14,,
CoRoT-21,CoRoT-21 b,2012,0,Space,Transit,CoRoT,1,2.72474,1398.83,4.1,718.2958,14.572,2.26,1.3,1.36,1.29,1.95,0.255
CoRoT-22,CoRoT-22 b,2014,0,Space,Transit,CoRoT,1,9.75598,592,3.3,12.2,4.88,0.038,0.435,0.249,1.1,1.14,1.027
CoRoT-23,CoRoT-23 b,2011,0,Space,Transit,CoRoT,1,3.6313,600,7.2,889.9,11.77,2.8,1.05,3,1.14,1.61,0.5
CoRoT-24,CoRoT-24 b,2014,0,Space,Transit,CoRoT,2,5.1134,600,11,5.7,3.7,0.018,0.33,0.9,0.91,0.86,
CoRoT-24,CoRoT-24 c,2014,0,Space,Transit,CoRoT,2,11.759,600,11,28,5,0.088,0.44,1.3,0.91,0.86,
CoRoT-25,CoRoT-25 b,2013,0,Space,Transit,CoRoT,1,4.86069,1000,4.5,85.81,12.11,0.27,1.08,0.15,1.09,1.19,
CoRoT-26,CoRoT-26 b,2013,0,Space,Transit,CoRoT,1,4.20474,1670,8.6,165.26,14.12,0.52,1.26,0.28,1.09,1.79,
CoRoT-27,CoRoT-27 b,2014,0,Space,Transit,CoRoT,1,3.57532,1035.15,4.21,3302.11,11.287,10.39,1.007,12.6,1.05,1.08,1.24
CoRoT-28,CoRoT-28 b,2015,0,Space,Transit,CoRoT,1,5.20851,560,12,153.82972,10.705,0.484,0.955,0.69,1.01,1.78,0.27
CoRoT-29,CoRoT-29 b,2015,0,Space,Transit,CoRoT,1,2.85057,765,4.5,270.1555,10.088,0.85,0.9,1.45,0.97,0.9,1.825
CoRoT-3,CoRoT-3 b,2008,0,Space,Transit,CoRoT,1,4.2568,680,2.2,6883.91,11.32,21.66,1.01,26.4,1.37,1.56,
CoRoT-4,CoRoT-4 b,2008,0,Space,Transit,CoRoT,1,9.20205,741.6,1,228.83,13.34,0.72,1.19,0.525,1.16,1.17,
CoRoT-5,CoRoT-5 b,2009,0,Space,Transit,CoRoT,1,4.0378962,904.65,6.9,148.42,15.558,0.467,1.388,0.217,1,1.19,
CoRoT-6,CoRoT-6 b,2009,0,Space,Transit,CoRoT,1,8.886593,657.24,,940.74,13.068,2.96,1.166,2.32,1.05,1.02,
CoRoT-7,CoRoT-7 b,2009,0,Space,Transit,CoRoT,2,0.85359163,153.7,,3.1783,1.681,0.01,0.15,,0.82,0.83,2
CoRoT-7,CoRoT-7 c,2009,0,Space,Radial Velocity,CoRoT,2,3.698,153.7,,8.4,,0.02643,,,0.82,0.83,2
CoRoT-8,CoRoT-8 b,2010,0,Space,Transit,CoRoT,1,6.21229,380,3,69.92,6.39,0.22,0.57,1.6,0.88,0.77,2.7
CoRoT-9,CoRoT-9 b,2009,0,Space,Transit,CoRoT,1,95.272656,460,6,266.9772,11.949,0.84,1.066,0.86,0.96,0.96,1.51
CoRoTID 223977153,CoRoTID 223977153 b,2017,0,Space,Transit,CoRoT,1,6.71837,586.2,,47.6745,6.389,0.15,0.57,1.1,1.08,0.79,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,2013,0,Ground,Astrometry,Paranal Observatory,1,246.36,20.77,1,9057.77,,28.5,,,0.07,,
DH Tau,DH Tau b,2004,0,Ground,Imaging,Subaru Telescope,1,,140,0.001,3496,,11,,,0.33,0.27,
DP Leo,DP Leo b,2009,0,Ground,Eclipse Timing Variations,Yunnan Astronomical Observatory,1,10220,305.06,,,,6.05,,,,0.01,
EPIC 211822797,EPIC 211822797 b,2016,0,Space,Transit,K2,1,21.169861,187.19,,,1.98,,0.177,,0.66,0.57,
EPIC 211945201,EPIC 211945201 b,2018,0,Space,Transit,K2,1,19.49221,182.69,,,5.76,,0.514,,1.17,1.39,2.253
EPIC 220674823,EPIC 220674823 b,2016,0,Space,Transit,K2,2,0.571331,246.1,,,1.82,,0.162,,0.97,0.98,
EPIC 220674823,EPIC 220674823 c,2016,0,Space,Transit,K2,2,13.339079,246.1,,,2.73,,0.244,,0.97,0.98,
EPIC 246851721,EPIC 246851721 b,2018,0,Space,Transit,K2,1,6.180235,336.7,3.02,953.49,11.781,3,1.051,3.1,1.32,1.59,0.465
FU Tau,FU Tau b,2008,0,Space,Imaging,Spitzer Space Telescope,1,,140,0.001,5085.28,,16,,,0.05,,
Fomalhaut,Fomalhaut b,2008,0,Space,Imaging,Hubble Space Telescope,1,555530,7.7,,,,,,,1.92,,
GJ 1132,GJ 1132 b,2015,0,Ground,Transit,Cerro Tololo Inter-American Observatory,2,1.628931,12.04,,1.66,,0.00522,,6.3,0.18,0.21,
GJ 1132,GJ 1132 c,2018,0,Ground,Transit,La Silla Observatory,2,8.929,12.04,,,,0.00831,,,0.18,0.21,
GJ 1148,GJ 1148 b,2010,0,Ground,Radial Velocity,W. M. Keck Observatory,2,41.38,11.02,,,,0.30425,,,0.35,0.4,
GJ 1148,GJ 1148 c,2017,0,Ground,Radial Velocity,Calar Alto Observatory,2,532.58,11.02,,,,0.21414,,,0.35,0.4,
GJ 1214,GJ 1214 b,2009,0,Ground,Transit,MEarth Project,1,1.58040456,12.95,,6.26125,2.847,0.0197,0.254,1.49,0.15,0.22,
GJ 1265,GJ 1265 b,2018,0,Ground,Radial Velocity,Calar Alto Observatory,1,3.6511,10.26,,,,0.02328,,,0.18,0.19,
GJ 143,GJ 143 b,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),2,35.61253,16.33,3.8,22.7,2.61,0.07142,0.233,7,0.73,0.69,3.03
GJ 163,GJ 163 b,2013,0,Ground,Radial Velocity,La Silla Observatory,3,8.63182,15.14,6,,,0.03335,,,0.4,,
GJ 163,GJ 163 c,2013,0,Ground,Radial Velocity,La Silla Observatory,3,25.63058,15.14,6,,,0.0214,,,0.4,,
GJ 163,GJ 163 d,2013,0,Ground,Radial Velocity,La Silla Observatory,3,603.95116,15.14,6,,,0.0925,,,0.4,,
GJ 179,GJ 179 b,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,1,2288,12.36,,,,0.82,,,0.36,0.38,
GJ 273,GJ 273 b,2017,0,Ground,Radial Velocity,La Silla Observatory,2,18.6498,3.8,,,,0.00909,,,0.29,0.29,
GJ 273,GJ 273 c,2017,0,Ground,Radial Velocity,La Silla Observatory,2,4.7234,3.8,,,,0.00371,,,0.29,0.29,
GJ 3021,GJ 3021 b,2000,0,Ground,Radial Velocity,La Silla Observatory,1,133.71,17.56,,,,3.37,,,0.9,0.9,
GJ 3138,GJ 3138 b,2017,0,Ground,Radial Velocity,La Silla Observatory,3,1.22003,28.49,,,,0.0056,,,0.68,0.5,
GJ 3138,GJ 3138 c,2017,0,Ground,Radial Velocity,La Silla Observatory,3,5.974,28.49,,,,0.01315,,,0.68,0.5,
GJ 3138,GJ 3138 d,2017,0,Ground,Radial Velocity,La Silla Observatory,3,257.8,28.49,,,,0.03304,,,0.68,0.5,
GJ 317,GJ 317 b,2007,0,Ground,Radial Velocity,W. M. Keck Observatory,2,692,15.1,5,794.5,,2.5,,,0.42,,
GJ 317,GJ 317 c,2018,0,Ground,Radial Velocity,W. M. Keck Observatory,2,5312,15.1,5,,,1.54,,,0.42,,
GJ 328,GJ 328 b,2013,0,Ground,Radial Velocity,McDonald Observatory,1,4100,20.54,,,,2.3,,,0.69,,
GJ 3293,GJ 3293 b,2015,0,Ground,Radial Velocity,La Silla Observatory,4,30.5987,20.2,,,,0.07406,,,0.42,0.4,
GJ 3293,GJ 3293 c,2015,0,Ground,Radial Velocity,La Silla Observatory,4,122.6196,20.2,,,,0.06636,,,0.42,0.4,
GJ 3293,GJ 3293 d,2017,0,Ground,Radial Velocity,La Silla Observatory,4,48.1345,20.2,,,,0.02391,,,0.42,0.4,
GJ 3293,GJ 3293 e,2017,0,Ground,Radial Velocity,La Silla Observatory,4,13.2543,20.2,,,,0.01032,,,0.42,0.4,
GJ 3323,GJ 3323 b,2017,0,Ground,Radial Velocity,La Silla Observatory,2,5.3636,5.32,,,,0.00636,,,0.16,0.12,
GJ 3323,GJ 3323 c,2017,0,Ground,Radial Velocity,La Silla Observatory,2,40.54,5.32,,,,0.00727,,,0.16,0.12,
GJ 3341,GJ 3341 b,2015,0,Ground,Radial Velocity,La Silla Observatory,1,14.207,23.16,,,,0.0208,,,0.47,0.44,
GJ 3470,GJ 3470 b,2012,0,Ground,Radial Velocity,La Silla Observatory,1,3.3366496,25.2,,13.9,4.57,0.04373,0.408,0.8,0.54,0.55,3.3
GJ 3634,GJ 3634 b,2010,0,Ground,Radial Velocity,La Silla Observatory,1,2.64561,19.8,5,8.4,,0.026,,,0.45,0.43,
GJ 3779,GJ 3779 b,2018,0,Ground,Radial Velocity,Calar Alto Observatory,1,3.0232,13.75,,,,0.02517,,,0.27,0.28,
GJ 3942,GJ 3942 b,2017,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,1,6.905,16.94,,,,0.02246,,,0.63,0.61,
GJ 3998,GJ 3998 b,2016,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,2,2.64977,17.79,,,,0.00777,,,0.5,0.49,
GJ 3998,GJ 3998 c,2016,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,2,13.74,17.79,,,,0.0197,,,0.5,0.49,
GJ 411,GJ 411 b,2019,0,Ground,Radial Velocity,Haute-Provence Observatory,1,12.9532,2.55,,,,0.00941,,,0.39,0.39,
GJ 4276,GJ 4276 b,2019,0,Ground,Radial Velocity,Calar Alto Observatory,1,13.352,21.35,6.9,,,0.05213,,,0.41,0.41,
GJ 433,GJ 433 b,2011,0,Ground,Radial Velocity,La Silla Observatory,1,7.3709,9.07,,,,0.02,,,0.59,0.5,
GJ 436,GJ 436 b,2004,0,Ground,Radial Velocity,W. M. Keck Observatory,1,2.64388312,9.76,,22.1,4.17,0.07,0.372,1.8,0.47,0.46,7
GJ 504,GJ 504 b,2013,0,Ground,Imaging,Subaru Telescope,1,,17.54,0.16,1271.3,,4,,,1.22,,
GJ 536,GJ 536 b,2016,0,Ground,Radial Velocity,La Silla Observatory,1,8.7076,10.03,,,,0.01686,,,0.52,0.5,
GJ 581,GJ 581 b,2005,0,Ground,Radial Velocity,La Silla Observatory,3,5.3686,6.3,2,,,0.0497,,,0.31,0.29,
GJ 581,GJ 581 c,2007,0,Ground,Radial Velocity,La Silla Observatory,3,12.914,6.3,2,,,0.0173,,,0.31,0.29,
GJ 581,GJ 581 e,2009,0,Ground,Radial Velocity,La Silla Observatory,3,3.149,6.3,2,,,0.0053,,,0.31,0.29,
GJ 625,GJ 625 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,14.628,6.49,,,,0.00887,,,0.3,0.31,
GJ 649,GJ 649 b,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,1,598.3,10.38,,,,0.328,,,0.54,,
GJ 667 C,GJ 667 C b,2011,0,Ground,Radial Velocity,La Silla Observatory,5,7.2004,6.8,2,,,0.018,,,0.33,,
GJ 667 C,GJ 667 C c,2011,0,Ground,Radial Velocity,La Silla Observatory,5,28.14,6.8,2,,,0.012,,,0.33,,
GJ 667 C,GJ 667 C e,2013,0,Ground,Radial Velocity,La Silla Observatory,5,62.24,6.8,2,,,0.008,,,0.33,,
GJ 667 C,GJ 667 C f,2013,0,Ground,Radial Velocity,La Silla Observatory,5,39.026,6.8,2,,,0.008,,,0.33,,
GJ 667 C,GJ 667 C g,2013,0,Ground,Radial Velocity,La Silla Observatory,5,256.2,6.8,2,,,0.014,,,0.33,,
GJ 674,GJ 674 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,4.6938,4.55,0.55,,,0.035,,,0.35,,
GJ 676 A,GJ 676 A b,2010,0,Ground,Radial Velocity,La Silla Observatory,4,1056.80005,16.9,,,,4.96,,,0.73,0.69,
GJ 676 A,GJ 676 A c,2016,0,Ground,Radial Velocity,Paranal Observatory,4,7337,16.9,,,,6.8,,,0.73,0.69,
GJ 676 A,GJ 676 A d,2012,0,Ground,Radial Velocity,La Silla Observatory,4,3.6005,16.9,,,,0.014,,,0.73,0.69,
GJ 676 A,GJ 676 A e,2012,0,Ground,Radial Velocity,La Silla Observatory,4,35.39,16.9,,,,0.025,,,0.73,0.69,
GJ 685,GJ 685 b,2019,0,Ground,Radial Velocity,Qatar,1,24.16,14.32,,,,0.02832,,,0.55,0.54,
GJ 687,GJ 687 b,2014,0,Ground,Radial Velocity,Lick Observatory,1,38.14,4.55,,,,0.06,,,0.45,0.43,
GJ 832,GJ 832 b,2008,0,Ground,Radial Velocity,Anglo-Australian Telescope,2,3657,4.97,,,,0.68,,,0.45,,
GJ 832,GJ 832 c,2014,0,Ground,Radial Velocity,Multiple Observatories,2,35.68,4.97,,,,0.017,,,0.45,,
GJ 849,GJ 849 b,2006,0,Ground,Radial Velocity,W. M. Keck Observatory,1,1882,8.8,,,,1,,,0.65,0.53,
GJ 86,GJ 86 b,1999,0,Ground,Radial Velocity,La Silla Observatory,1,15.76491,10.79,,,,4.42,,,0.93,0.77,
GJ 876,GJ 876 b,1998,0,Ground,Radial Velocity,Multiple Observatories,4,61.1166,4.68,1,723.2235,,2.2756,,,0.32,0.3,
GJ 876,GJ 876 c,2000,0,Ground,Radial Velocity,Multiple Observatories,4,30.0881,4.68,1,226.9846,,0.7142,,,0.32,0.3,
GJ 876,GJ 876 d,2005,0,Ground,Radial Velocity,W. M. Keck Observatory,4,1.93778,4.68,1,6.83,,0.021,,,0.32,0.3,
GJ 876,GJ 876 e,2010,0,Ground,Radial Velocity,W. M. Keck Observatory,4,124.26,4.68,1,14.6,,0.046,,,0.32,0.3,
GJ 96,GJ 96 b,2018,0,Ground,Radial Velocity,Haute-Provence Observatory,1,73.94,11.94,,,,0.06186,,,0.6,,
GJ 9827,GJ 9827 b,2017,0,Space,Transit,K2,3,1.2089802,30.32,,3.42,1.62,0.01076,0.145,4.5,0.61,0.61,3.76
GJ 9827,GJ 9827 c,2017,0,Space,Transit,K2,3,3.648083,30.32,,2.42,1.269,0.00761,0.113,6.4,0.61,0.61,3.76
GJ 9827,GJ 9827 d,2017,0,Space,Transit,K2,3,6.201467,30.32,,5.2,2.07,0.01636,0.185,3.23,0.61,0.61,3.76
GQ Lup,GQ Lup b,2004,0,Ground,Imaging,Paranal Observatory,1,,139,0.001,6356,33.6,20,3,,0.7,,
GSC 06214-00210,GSC 06214-00210 b,2010,0,Ground,Imaging,Palomar Observatory,1,,145,0.005,5000,,16,,,0.9,,
GU Psc,GU Psc b,2014,0,Ground,Imaging,Gemini Observatory,1,,48,0.1,3591.3,14.179,11.3,1.265,,0.33,,
Gl 378,Gl 378 b,2019,0,Ground,Radial Velocity,Haute-Provence Observatory,1,3.822,14.96,,,,0.04097,,,0.56,0.56,
Gl 686,Gl 686 b,2018,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,1,15.53209,8.16,,,,0.02234,,,0.42,0.42,
HAT-P-1,HAT-P-1 b,2006,0,Ground,Transit,HATNet,1,4.46529976,139,,166.86075,14.785,0.525,1.319,0.282,1.15,1.17,0.908
HAT-P-11,HAT-P-11 b,2008,1,Ground,Transit,HATNet,2,4.88780244,37.81,6.5,,4.36,0.07362,0.389,,0.81,0.68,
HAT-P-11,HAT-P-11 c,2018,1,Ground,Radial Velocity,W. M. Keck Observatory,2,3407,37.81,6.5,,,1.59519,,,0.81,0.68,
HAT-P-12,HAT-P-12 b,2009,0,Ground,Transit,HATNet,1,3.2130598,142.5,2.5,67.059,10.749,0.211,0.959,0.3192,0.73,0.7,
HAT-P-13,HAT-P-13 b,2009,0,Ground,Transit,HATNet,2,2.91625,214,5,270.462,14.258,0.851,1.272,,1.22,1.56,
HAT-P-13,HAT-P-13 c,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,2,446.27,214,5,,,14.28,,,1.22,1.56,
HAT-P-14,HAT-P-14 b,2010,0,Ground,Transit,HATNet,1,4.62767,205,,1093.3352,15.917,3.44,1.42,,2.65,1.82,0.62
HAT-P-15,HAT-P-15 b,2010,0,Ground,Transit,HATNet,1,10.8635,190,,616.5902,11.882,1.94,1.06,,1,1.07,1.14
HAT-P-16,HAT-P-16 b,2010,0,Ground,Transit,HATNet,1,2.77596,235,2,1332.605,14.448,4.193,1.289,2.42,1.22,1.24,
HAT-P-17,HAT-P-17 b,2010,0,Ground,Transit,HATNet,2,10.33852,90,,184.3414,11.769,0.58,1.05,,0.99,0.87,2.08
