pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
Kepler-306,Kepler-306 b,2014,1,Space,Transit,Kepler,4,4.646186,753,,,1.52,,0.136,,,0.72,
Kepler-306,Kepler-306 c,2014,1,Space,Transit,Kepler,4,7.240193,753,,,2.35,,0.21,,,0.72,
Kepler-306,Kepler-306 d,2014,1,Space,Transit,Kepler,4,17.326644,753,,,2.47,,0.22,,,0.72,
Kepler-306,Kepler-306 e,2014,1,Space,Transit,Kepler,4,44.840975,753,,,2.27,,0.203,,,0.72,
Kepler-307,Kepler-307 b,2013,1,Space,Transit,Kepler,2,10.4208,600,,7.44,2.43,0.02341,0.217,2.62,0.91,0.81,
Kepler-307,Kepler-307 c,2013,1,Space,Transit,Kepler,2,13.0729,600,,3.64,2.2,0.01145,0.196,1.74,0.91,0.81,
Kepler-308,Kepler-308 b,2014,1,Space,Transit,Kepler,2,9.694928,1284,,,2.12,,0.189,,,0.94,
Kepler-308,Kepler-308 c,2014,1,Space,Transit,Kepler,2,15.38231,1284,,,2.16,,0.193,,,0.94,
Kepler-309,Kepler-309 b,2014,1,Space,Transit,Kepler,2,5.923653,524,,,1.56,,0.139,,,0.72,
Kepler-309,Kepler-309 c,2014,1,Space,Transit,Kepler,2,105.356383,524,,,2.51,,0.224,,,0.72,
Kepler-31,Kepler-31 b,2011,1,Space,Transit,Kepler,3,20.8613,2100,,,5.5,,0.491,,1.21,1.22,
Kepler-31,Kepler-31 c,2011,1,Space,Transit,Kepler,3,42.6318,2100,,1493.7,5.3,4.7,0.473,,1.21,1.22,
Kepler-31,Kepler-31 d,2014,1,Space,Transit,Kepler,3,87.6451,2100,,2161.244,3.9,6.8,0.348,,1.21,1.22,
Kepler-310,Kepler-310 b,2014,1,Space,Transit,Kepler,3,13.930698,634,,,1.19,,0.106,,,0.88,
Kepler-310,Kepler-310 c,2014,1,Space,Transit,Kepler,3,56.47542,634,,,3.38,,0.302,,,0.88,
Kepler-310,Kepler-310 d,2014,1,Space,Transit,Kepler,3,92.876125,634,,,2.47,,0.22,,,0.88,
Kepler-311,Kepler-311 b,2014,1,Space,Transit,Kepler,2,9.176092,774,,,1.7,,0.152,,,1.19,
Kepler-311,Kepler-311 c,2014,1,Space,Transit,Kepler,2,19.738286,774,,,1.43,,0.128,,,1.19,
Kepler-312,Kepler-312 b,2014,1,Space,Transit,Kepler,2,1.772419,569,,,1.29,,0.115,,,1.47,
Kepler-312,Kepler-312 c,2014,1,Space,Transit,Kepler,2,19.747412,569,,,3.15,,0.281,,,1.47,
Kepler-313,Kepler-313 b,2014,1,Space,Transit,Kepler,2,14.970418,954,,,2.53,,0.226,,,1.54,
Kepler-313,Kepler-313 c,2014,1,Space,Transit,Kepler,2,32.273273,954,,,2.57,,0.229,,,1.54,
Kepler-314,Kepler-314 b,2014,1,Space,Transit,Kepler,2,2.461069,263,,,0.83,,0.074,,,0.95,
Kepler-314,Kepler-314 c,2014,1,Space,Transit,Kepler,2,5.960392,263,,,2.9,,0.259,,,0.95,
Kepler-315,Kepler-315 b,2014,1,Space,Transit,Kepler,2,96.101141,1112,,,3.77,,0.336,,,1.04,
Kepler-315,Kepler-315 c,2014,1,Space,Transit,Kepler,2,265.469335,1112,,,4.15,,0.37,,,1.04,
Kepler-316,Kepler-316 b,2014,1,Space,Transit,Kepler,2,2.240508,342,,,1.06,,0.095,,,0.52,
Kepler-316,Kepler-316 c,2014,1,Space,Transit,Kepler,2,6.827766,342,,,1.16,,0.103,,,0.52,
Kepler-317,Kepler-317 b,2014,1,Space,Transit,Kepler,2,5.524242,1220,,,2.09,,0.186,,,0.94,
Kepler-317,Kepler-317 c,2014,1,Space,Transit,Kepler,2,8.77501,1220,,,1.72,,0.153,,,0.94,
Kepler-318,Kepler-318 b,2014,1,Space,Transit,Kepler,2,4.662715,463,,,4.71,,0.42,,,1.19,
Kepler-318,Kepler-318 c,2014,1,Space,Transit,Kepler,2,11.815007,463,,,3.68,,0.328,,,1.19,
Kepler-319,Kepler-319 b,2014,1,Space,Transit,Kepler,3,4.362705,549,,,1.63,,0.145,,,0.9,
Kepler-319,Kepler-319 c,2014,1,Space,Transit,Kepler,3,6.941357,549,,,2.63,,0.235,,,0.9,
Kepler-319,Kepler-319 d,2014,1,Space,Transit,Kepler,3,31.781925,549,,,2.29,,0.204,,,0.9,
Kepler-32,Kepler-32 b,2011,1,Space,Transit,Kepler,5,5.90124,303,,1303,2.2,4.1,0.196,,0.58,0.53,
Kepler-32,Kepler-32 c,2011,1,Space,Transit,Kepler,5,8.7522,303,,158.9,2,0.5,0.178,,0.58,0.53,
Kepler-32,Kepler-32 d,2012,1,Space,Transit,Kepler,5,22.7802,303,,,2.7,,0.241,,0.58,0.53,
Kepler-32,Kepler-32 e,2012,1,Space,Transit,Kepler,5,2.896,303,,,1.5,,0.134,,0.58,0.53,
Kepler-32,Kepler-32 f,2012,1,Space,Transit,Kepler,5,0.74296,303,,,0.82,,0.073,,0.58,0.53,
Kepler-320,Kepler-320 b,2014,1,Space,Transit,Kepler,2,8.371554,1022,,,1.14,,0.102,,,1.11,
Kepler-320,Kepler-320 c,2014,1,Space,Transit,Kepler,2,17.934937,1022,,,1.37,,0.122,,,1.11,
Kepler-321,Kepler-321 b,2014,1,Space,Transit,Kepler,2,4.915379,377,,,1.77,,0.158,,,1.19,
Kepler-321,Kepler-321 c,2014,1,Space,Transit,Kepler,2,13.093921,377,,,2.32,,0.207,,,1.19,
Kepler-322,Kepler-322 b,2014,1,Space,Transit,Kepler,2,1.653888,428,,,1.01,,0.09,,,0.89,
Kepler-322,Kepler-322 c,2014,1,Space,Transit,Kepler,2,4.337234,428,,,1.67,,0.149,,,0.89,
Kepler-323,Kepler-323 b,2014,1,Space,Transit,Kepler,2,1.678327,473,,,1.43,,0.128,,,1.18,
Kepler-323,Kepler-323 c,2014,1,Space,Transit,Kepler,2,3.553822,473,,,1.63,,0.145,,,1.18,
Kepler-324,Kepler-324 b,2014,1,Space,Transit,Kepler,2,4.385315,492,,,1.14,,0.102,,,0.84,
